n_nodes,influence,nodes
31,391.36,"[3712, 775, 1289, 144, 1687, 408, 538, 286, 30, 6432, 33, 1183, 6051, 2598, 812, 58, 699, 60, 1853, 1984, 6721, 4673, 4419, 196, 2116, 2374, 1221, 4946, 844, 2013, 508]"
3,90.05,"[3712, 2374, 286]"
37,404.61,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 2598, 5160, 430, 1329, 818, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 196, 6981, 1221, 2374, 844, 5084, 2013]"
19,340.34,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 30, 286, 58, 699, 60, 1853, 2374, 1350, 3321, 5209, 2013, 875]"
4,125.8,"[3712, 30, 408, 286]"
5,144.68,"[3712, 1687, 408, 30, 286]"
30,384.36,"[3712, 775, 1289, 144, 1687, 408, 538, 30, 286, 5920, 6432, 33, 430, 818, 438, 58, 699, 60, 1853, 1984, 6721, 4419, 196, 2116, 1221, 2374, 844, 2013, 4219, 1858]"
32,397.91,"[3712, 775, 1289, 144, 1687, 408, 538, 1566, 1183, 5920, 6432, 33, 2464, 30, 286, 2598, 430, 1329, 4628, 438, 697, 58, 699, 60, 1853, 1593, 1221, 2374, 844, 4946, 2013, 508]"
8,260.18,"[3712, 2374, 1687, 408, 538, 699, 2013, 30, 286]"
21,350.37,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 30, 286, 58, 699, 60, 1853, 212, 2374, 1350, 5577, 338, 5209, 2013, 230]"
19,331.77,"[3712, 2952, 1687, 408, 538, 30, 1183, 286, 805, 430, 1329, 697, 58, 699, 60, 1853, 6721, 2374, 2013]"
20,344.42,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 30, 286, 58, 699, 60, 1853, 2374, 1350, 5209, 2013, 875, 3321, 5812]"
47,425.94,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 2598, 5160, 430, 1329, 818, 3121, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 4419, 2116, 196, 6981, 2247, 1221, 2374, 844, 5084, 2013, 478, 3050, 3436, 6513, 3570, 892, 894, 6895]"
7,233.45,"[3712, 1687, 408, 538, 699, 2013, 30, 286]"
39,411.08,"[3712, 775, 1289, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 5160, 430, 1329, 818, 3121, 6581, 438, 697, 58, 699, 60, 1853, 2923, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5084, 2013, 478, 2397, 1405]"
33,399.65,"[3712, 775, 1289, 140, 144, 1687, 408, 538, 30, 286, 5920, 6432, 33, 2464, 1566, 1183, 2598, 430, 1329, 438, 697, 58, 699, 60, 1853, 1593, 1221, 2374, 844, 4946, 2013, 508, 4480]"
18,324.76,"[3712, 775, 144, 1687, 408, 538, 30, 286, 5920, 6432, 58, 699, 60, 1853, 1984, 6721, 2374, 2013]"
9,267.63,"[3712, 2374, 4110, 2013, 1687, 408, 699, 1853, 30, 286]"
25,366.24,"[3712, 1289, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 818, 58, 699, 60, 1853, 1984, 6721, 196, 2116, 2374, 1221, 844, 2013]"
45,424.09,"[3712, 775, 1289, 144, 1687, 408, 538, 30, 286, 5920, 6432, 2464, 1566, 1183, 812, 430, 1329, 818, 3121, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5084, 2013, 478, 3050, 3436, 6513, 3570, 892, 894, 504]"
42,412.62,"[3712, 775, 1289, 144, 1687, 408, 538, 4635, 286, 30, 5920, 6432, 33, 1183, 2598, 5160, 430, 1329, 818, 3121, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 196, 6981, 1221, 2374, 844, 5084, 2013, 478, 3050, 3436, 6513]"
11,288.56,"[3712, 2374, 1853, 4110, 1687, 408, 538, 699, 60, 2013, 30, 286]"
16,309.03,"[3712, 3415, 2374, 1350, 875, 430, 2013, 1687, 408, 3321, 58, 699, 60, 1853, 30, 286]"
